docks,id,lat,lon,name
41,BikePoints_92,51.498898,-0.10044,"Borough Road, Elephant & Castle"
37,BikePoints_93,51.534408,-0.109025,"Cloudesley Road, Angel"
28,BikePoints_94,51.495061,-0.085814,"Bricklayers Arms, Borough"
15,BikePoints_95,51.520841,-0.09734,"Aldersgate Street, Barbican"
26,BikePoints_96,51.53095,-0.078505,"Falkirk Street, Hoxton"
18,BikePoints_97,51.497924,-0.183834,"Gloucester Road (North), Kensington"
54,BikePoints_98,51.525542,-0.138231,"Hampstead Road, Euston"
16,BikePoints_99,51.514577,-0.158264,"Old Quebec Street, Marylebone"
24,BikePoints_100,51.490435,-0.122806,"Albert Embankment, Vauxhall"
22,BikePoints_101,51.511553,-0.09294,"Queen Street 1, Bank"
17,BikePoints_102,51.513406,-0.076793,"Jewry Street, Aldgate"
18,BikePoints_103,51.504723,-0.192538,"Vicarage Gate, Kensington"
34,BikePoints_104,51.511594,-0.077121,"Crosswall, Tower"
26,BikePoints_105,51.515529,-0.19024,"Westbourne Grove, Bayswater"
21,BikePoints_106,51.514105,-0.147301,"Woodstock Street, Mayfair"
20,BikePoints_107,51.526008,-0.096317,"Finsbury Leisure Centre, St. Luke's"
29,BikePoints_108,51.498125,-0.132102,"Abbey Orchard Street, Westminster"
57,BikePoints_109,51.515631,-0.132328,"Soho Square, Soho"
17,BikePoints_110,51.533043,-0.172528,"Wellington Road, St. John's Wood"
28,BikePoints_111,51.510017,-0.157275,"Park Lane, Hyde Park"
42,BikePoints_112,51.515809,-0.10527,"Stonecutter Street, Holborn"
19,BikePoints_113,51.496462,-0.183289,"Gloucester Road (Central), South Kensington"
22,BikePoints_114,51.524517,-0.158963,"Park Road (Baker Street), The Regent's Park"
34,BikePoints_115,51.514233,-0.073537,"Braham Street, Aldgate"
21,BikePoints_116,51.514499,-0.141423,"Little Argyll Street, West End"
25,BikePoints_117,51.49288,-0.114934,"Lollard Street, Vauxhall"
13,BikePoints_118,51.495827,-0.135478,"Rochester Row, Westminster"
18,BikePoints_119,51.525893,-0.090847,"Bath Street, St. Luke's"
17,BikePoints_120,51.515735,-0.09308,"The Guildhall, Guildhall"
22,BikePoints_121,51.518913,-0.156166,"Baker Street, Marylebone"
23,BikePoints_122,51.521113,-0.078869,"Norton Folgate, Liverpool Street"
18,BikePoints_123,51.52836,-0.104724,"St. John Street, Finsbury"
20,BikePoints_124,51.496544,-0.150905,"Eaton Square, Belgravia"
21,BikePoints_125,51.500694,-0.094524,"Borough High Street, The Borough"
52,BikePoints_126,51.517821,-0.096496,"Museum of London, Barbican"
17,BikePoints_127,51.517008,-0.093885,"Wood Street, Guildhall"
18,BikePoints_129,51.511897,-0.137043,"Golden Square, Soho"
24,BikePoints_130,51.509506,-0.075459,"Tower Gardens, Tower"
16,BikePoints_131,51.533005,-0.136792,"Eversholt Street, Camden Town"
38,BikePoints_132,51.523648,-0.074754,"Bethnal Green Road, Shoreditch"
18,BikePoints_133,51.501364,-0.191462,"Derry Street, Kensington"
20,BikePoints_134,51.504904,-0.06797,"Wapping High Street, Wapping"
21,BikePoints_135,51.52326,-0.104708,"Clerkenwell Green, Clerkenwell"
32,BikePoints_136,51.511961,-0.097441,"Queen Victoria Street, St. Paul's"
19,BikePoints_138,51.512276,-0.157436,"Green Street, Mayfair"
18,BikePoints_139,51.494881,-0.117974,"Lambeth Road, Vauxhall"
33,BikePoints_140,51.520962,-0.085634,"Finsbury Square, Moorgate"
29,BikePoints_141,51.515308,-0.147203,"Chapel Place, Marylebone"
24,BikePoints_142,51.493724,-0.198286,"West Cromwell Road, Earl's Court"
24,BikePoints_143,51.496886,-0.161203,"Pont Street, Knightsbridge"
47,BikePoints_144,51.48894,-0.111435,"Kennington Cross, Kennington"
24,BikePoints_145,51.500743,-0.202759,"Ilchester Place, Kensington"
35,BikePoints_146,51.488365,-0.129361,"Vauxhall Bridge, Pimlico"
16,BikePoints_147,51.514943,-0.116146,"Portugal Street, Holborn"
16,BikePoints_148,51.492111,-0.138364,"Tachbrook Street, Victoria"
18,BikePoints_149,51.484788,-0.110683,"Kennington Road Post Office, Oval"
28,BikePoints_150,51.497056,-0.168917,"Holy Trinity Brompton, Knightsbridge"
26,BikePoints_151,51.512136,-0.201554,"Chepstow Villas, Notting Hill"
21,BikePoints_152,51.49217,-0.101536,"Hampton Street, Walworth"
27,BikePoints_153,51.511933,-0.174411,"Bayswater Road, Hyde Park"
35,BikePoints_154,51.503791,-0.112824,"Waterloo Station 3, Waterloo"
19,BikePoints_155,51.495866,-0.191933,"Lexham Gardens, Kensington"
33,BikePoints_156,51.494436,-0.092921,"New Kent Road, The Borough"
37,BikePoints_157,51.500397,-0.193068,"Wright's Lane, Kensington"
18,BikePoints_158,51.490853,-0.19617,"Trebovir Road, Earl's Court"
39,BikePoints_159,51.514619,-0.137841,"Great Marlborough Street, Soho"
20,BikePoints_160,51.506633,-0.131773,"Waterloo Place, St. James's"
16,BikePoints_161,51.492345,-0.141334,"Guildhouse Street, Victoria"
20,BikePoints_162,51.517606,-0.121328,"Southampton Place, Holborn"
16,BikePoints_164,51.515607,-0.183118,"Cleveland Gardens, Bayswater"
15,BikePoints_165,51.517932,-0.183716,"Orsett Terrace, Bayswater"
27,BikePoints_166,51.501855,-0.159237,"Seville Street, Knightsbridge"
19,BikePoints_167,51.49395,-0.147624,"Eccleston Place, Victoria"
19,BikePoints_168,51.500401,-0.195455,"Argyll Road, Kensington"
18,BikePoints_169,51.514746,-0.165164,"Porchester Place, Paddington"
30,BikePoints_170,51.527842,-0.108068,"Hardwick Street, Clerkenwell"
14,BikePoints_171,51.491615,-0.186753,"Collingham Gardens, Earl's Court"
19,BikePoints_172,51.491211,-0.173715,"Sumner Place, South Kensington"
15,BikePoints_173,51.50486,-0.113001,"Waterloo Road, South Bank"
36,BikePoints_174,51.512529,-0.115163,"Strand, Strand"
26,BikePoints_175,51.521743,-0.081118,"Appold Street, Liverpool Street"
23,BikePoints_176,51.517919,-0.188098,"Gloucester Terrace, Bayswater"
25,BikePoints_177,51.49616,-0.140947,"Ashley Place, Victoria"
19,BikePoints_178,51.489856,-0.141923,"Warwick Square, Pimlico"
17,BikePoints_180,51.512911,-0.153645,"North Audley Street, Mayfair"
21,BikePoints_181,51.499412,-0.152317,"Belgrave Square, Belgravia"
18,BikePoints_182,51.522029,-0.165842,"Bell Street, Marylebone"
24,BikePoints_183,51.482362,-0.136123,"Riverlight North, Nine Elms"
34,BikePoints_184,51.520715,-0.145211,"Portland Place, Marylebone"
14,BikePoints_185,51.488057,-0.140741,"Alderney Street, Pimlico"
16,BikePoints_186,51.517335,-0.17581,"South Wharf Road, Paddington"
25,BikePoints_187,51.492479,-0.178433,"Queen's Gate (South), South Kensington"
18,BikePoints_188,51.516517,-0.164393,"Nutford Place, Marylebone"
